Entity_ID,EntitySize,NAICS_before,Industry_before,NAICS_after,Industry_After
1468890	5124	54	"2500+ Professional, Scientific, and Technical Services"	541990	"500+ All Other Professional"
1470223	55	423	"50 - 99 Merchant Wholesalers, Durable Goods"	423990	"50 - 99 Other Miscellaneous Durable Goods Merchant Wholesalers"
1470293	72	54	"50 - 99 Professional, Scientific, and Technical Services"	541310	"50 - 99 Architectural Services"
1470690	61	54	"50 - 99 Professional, Scientific, and Technical Services"	541110	"50 - 99 Offices of Lawyers"
1470726	426	54	"100 - 499 Professional, Scientific, and Technical Services"	541310	"100 - 499 Architectural Services"
1470938	11594	525	"2500+ Funds, Trusts, and Other Financial Vehicles"	525920	"2500+ Trusts"
1470963	213	423	"100 - 499 Merchant Wholesalers, Durable Goods"	423990	"100 - 499 Other Miscellaneous Durable Goods Merchant Wholesalers"
1470974	69	236	"50 - 99 Construction of Buildings"	236115	"50 - 99 New Single-Family Housing Construction (except For-Sale Builders)"
1471002	107	238	"100 - 499 Specialty Trade Contractors"	238220	"100 - 499 Plumbing"
1470153	105	113	"100 - 2499 Forestry and Logging"	113310	"100 - 2499 Logging"
1471170	66	621	"50 - 99 Ambulatory Health Care Services"	621399	"50 - 99 Offices of All Other Miscellaneous Health Practitioners"
1471232	2056	621	"500 - 2499 Ambulatory Health Care Services"	621111	"500 - 2499 Offices of Physicians (except Mental Health Specialists)"
1471243	494	22	"100 - 499 Utilities"	221122	"100 - 499 Electric Power Distribution"
1471325	132	4231	"100 - 499 Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers"	423120	"100 - 2499 Motor Vehicle Supplies and New Parts Merchant Wholesalers"
1471464	171	61	"100 - 499 Educational Services"	611310	"100 - 499 Colleges"
1471538	5664	525	"2500+ Funds, Trusts, and Other Financial Vehicles"	525920	"2500+ Trusts"
1471711	55	54	"50 - 99 Professional, Scientific, and Technical Services"	541690	"50 - 99 Other Scientific and Technical Consulting Services"
1472173	402	61	"100 - 499 Educational Services"	611310	"100 - 499 Colleges"
1472548	104	4244	"100 - 499 Grocery and Related Product Merchant Wholesalers"	424480	"100 - 2499 Fresh Fruit and Vegetable Merchant Wholesalers"
1473100	3034	485	"2500+ Transit and Ground Passenger Transportation"	48511	"500+ Urban Transit Systems"
1473101	400	237	"100 - 499 Heavy and Civil Engineering Construction"	237310	"100 - 499 Highway"
1474037	269	111	"100 - 2499 Crop Production"	111998	"100 - 2499 All Other Miscellaneous Crop Farming"
1474430	206	54	"100 - 499 Professional, Scientific, and Technical Services"	541330	"100 - 499 Engineering Services"
1474569	181	54	"100 - 499 Professional, Scientific, and Technical Services"	541330	"100 - 499 Engineering Services"
1474642	51	621	"50 - 99 Ambulatory Health Care Services"	621399	"50 - 99 Offices of All Other Miscellaneous Health Practitioners"
1474767	457	621	"100 - 499 Ambulatory Health Care Services"	621210	"100 - 2499 Offices of Dentists"
1475232	487	22	"100 - 499 Utilities"	221122	"100 - 499 Electric Power Distribution"
1475409	962	523	"500 - 2499 Securities, Commodity Contracts, and Other Financial Investments and Related Activities"	523910	"100+ Miscellaneous Intermediation"
1475701	145	441	"100 - 499 Motor Vehicle and Parts Dealers"	441110	"100 - 499 New Car Dealers"
1476610	222	61	"100 - 499 Educational Services"	611110	"100 - 499 Elementary and Secondary Schools"
1476901	270	441	"100 - 499 Motor Vehicle and Parts Dealers"	441110	"100 - 499 New Car Dealers"
1477153	112	4236	"100 - 499 Household Appliances and Electrical and Electronic Goods Merchant Wholesalers"	4236	"100 - 499 Household Appliances and Electrical and Electronic Goods Merchant Wholesalers"
1477192	79	531	"50 - 99 Real Estate"	531210	"50 - 99 Offices of Real Estate Agents and Brokers"
1477611	222	336	"100 - 499 Transportation Equipment Manufacturing"	33621	"100 - 499 Motor Vehicle Body and Trailer Manufacturing"
1477949	86	54	"50 - 99 Professional, Scientific, and Technical Services"	541110	"50 - 99 Offices of Lawyers"
1478919	123	61	"100 - 499 Educational Services"	611110	"100 - 499 Elementary and Secondary Schools"
1479024	69	531	"50 - 99 Real Estate"	531210	"50 - 99 Offices of Real Estate Agents and Brokers"
1479074	1695	445	"500 - 2499 Food and Beverage Retailers"	445110	"500 - 2499 Supermarkets and Other Grocery Retailers (except Convenience Retailers)"
1479517	69	54	"50 - 99 Professional, Scientific, and Technical Services"	541110	"50 - 99 Offices of Lawyers"
1479616	3415	518	"2500+ Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services"	518210	"500+ Computing Infrastructure Providers"
1479695	1221	522	"500 - 2499 Credit Intermediation and Related Activities"	522130	"500+ Credit Unions"
1481279	118	621	"100 - 499 Ambulatory Health Care Services"	621111	"100 - 499 Offices of Physicians (except Mental Health Specialists)"
1482426	51	112	"50 - 99 Animal Production and Aquaculture"	112	"50 - 99 Animal Production and Aquaculture"
1482977	534	54	"500 - 2499 Professional, Scientific, and Technical Services"	541110	"500 - 2499 Offices of Lawyers"
1482979	84	54	"50 - 99 Professional, Scientific, and Technical Services"	54171	"50 - 99 Research and Development in the Physical"
1483219	126	4233	"100 - 499 Lumber and Other Construction Materials Merchant Wholesalers"	423310	"100+ Lumber"
1483251	78	334	"50 - 99 Computer and Electronic Product Manufacturing"	334	"50 - 99 Computer and Electronic Product Manufacturing"
1483561	53	561	"50 - 99 Administrative and Support Services"	561110	"50 - 99 Office Administrative Services"
1484281	696	321	"500+ Wood Product Manufacturing"	321999	"100 - 2499 All Other Miscellaneous Wood Product Manufacturing"
1485338	1151	54	"500 - 2499 Professional, Scientific, and Technical Services"	541330	"500 - 2499 Engineering Services"
1485687	179	22	"100 - 499 Utilities"	221118	"100 - 2499 Other Electric Power Generation"
